step numCars dequeuedCars minQueueTime maxQueueTime sumQueueTime
0	1	0	?	?	0
1	2	0	?	?	0
2	3	0	?	?	0
3	4	0	?	?	0
4	5	0	?	?	0
5	6	0	?	?	0
6	7	0	?	?	0
7	8	1	0	0	0
8	9	1	0	0	0
9	10	1	0	0	0
10	11	1	0	0	0
11	12	1	0	0	0
12	13	1	0	0	0
13	14	1	0	0	0
14	15	2	0	0	0
15	16	2	0	0	0
16	17	2	0	0	0
17	18	0	?	?	0
18	19	4	0	1	1
19	20	2	0	0	0
20	21	1	0	0	0
21	22	3	0	0	0
22	23	2	0	0	0
23	24	4	0	1	1
24	25	2	0	0	0
25	26	2	0	0	0
26	27	3	0	1	1
27	28	3	0	0	0
28	29	3	0	3	5
29	30	3	0	0	0
30	31	3	0	1	1
31	32	3	0	1	1
32	33	4	0	3	5
33	34	2	0	0	0
34	35	4	0	2	4
35	36	3	0	4	6
36	37	4	0	1	2
37	38	4	0	0	0
38	39	4	0	4	6
39	40	5	0	4	6
40	41	3	1	7	12
41	42	5	0	1	2
42	43	2	0	3	3
43	44	7	0	4	11
44	45	2	0	2	2
45	46	7	0	3	11
46	47	4	0	1	1
47	48	5	0	3	9
48	49	5	0	4	6
49	50	3	0	4	4
50	50	7	0	5	9
51	50	3	0	3	3
52	50	6	0	5	11
53	50	4	0	7	9
54	50	7	0	6	11
55	50	2	0	4	4
56	50	8	0	5	18
57	50	3	0	3	4
58	50	7	0	6	15
59	50	4	0	7	9
60	50	6	0	4	11
61	50	3	0	2	2
62	50	6	0	8	27
63	50	6	0	3	8
64	50	4	0	5	6
65	50	7	0	8	25
66	50	7	0	5	15
67	50	5	0	4	7
68	50	6	0	1	2
69	50	5	0	4	6
70	50	6	0	4	5
71	50	5	0	9	20
72	50	7	0	7	17
73	50	5	0	3	5
74	50	5	0	1	4
75	50	3	0	2	2
76	50	6	0	4	10
77	50	6	0	3	6
78	50	5	1	4	13
79	50	7	0	4	12
80	50	4	0	3	5
81	50	5	0	4	11
82	50	8	1	6	21
83	50	7	0	2	9
84	50	3	0	1	2
85	50	3	0	6	6
86	50	6	0	1	3
87	50	4	0	7	11
88	50	6	0	5	12
89	50	5	0	4	6
90	50	7	0	5	14
91	50	3	0	5	7
92	50	9	0	7	23
93	50	2	0	7	7
94	50	7	0	6	17
95	50	6	0	5	12
96	50	4	0	6	9
97	50	7	0	2	9
98	50	3	1	2	4
99	50	8	0	5	13
100	50	1	0	0	0
101	50	6	0	7	16
102	50	2	0	4	4
103	50	9	0	6	20
104	50	5	0	6	13
